Analysis group,Analysis number,Analysis name,Subgroup,Applicability,Study,Study year,GIV Mean,GIV SE,Experimental mean,Experimental SD,Experimental cases,Experimental N,Control mean,Control SD,Control cases,Control N,O-E,Variance,Weight,Mean,CI start,CI end,Footnotes,Bias arising from the randomization process (judgement),Bias arising from the randomization process (support),Bias due to deviations from intended interventions (judgement),Bias due to deviations from intended interventions (support),Bias due to missing outcome data (judgement),Bias due to missing outcome data (support),Bias in measurement of the outcome (judgement),Bias in measurement of the outcome (support),Bias in selection of the reported result (judgement),Bias in selection of the reported result (support),Overall bias (judgement),Overall bias (support)
2,2,Worsening of clinical status within 28 days: admission to hospital or death,,SUBGROUP_AND_OVERALL,Vallejos 2021,2021,0.0,0.0,0.0,0.0,14,250,0.0,0.0,21,251,0.0,0.0,75.318677,0.669333,0.348313,1.286221,"Time point (30 days), participants (WHO 1 to 3), intervention (ivermectin 12 to 24 mg daily for 2 days), comparator (placebo)",Low risk,<p>Randomization was performed by an team member who was not part of any other part of the study using a computer-based programme. There was no baseline imbalance that would suggest a problem with randomization.</p>,Low risk,<p>Both participants and those delivering the intervention were not aware of the intervention received and the analysis was appropriate.</p>,Low risk,<p>Data for this outcome were available for all randomized participants.</p>,Low risk,<p>Outcome assessors were not aware of the intervention received. Knowledge of intervention received could not have affected outcome measurement.</p>,Low risk,<p>The protocol was prospectively registered and the outcome in the journal publication was reported as registered.</p>,Low risk,<p>Due to low risk of bias in all domains.</p>
2,3,Worsening of clinical status within 28 days: participants with need for ICU admission or death,,SUBGROUP_AND_OVERALL,I-TECH 2022,2022,0.0,0.0,0.0,0.0,8,241,0.0,0.0,13,249,0.0,0.0,100.0,0.635812,0.268317,1.506642,"Time point (28 days), participants (WHO 2 to 4), intervention (ivermectin 0.4 mg/kg daily for 5 days), comparator (SoC)",Low risk,<p>Centralized web-based randomization. There are no baseline differences that would suggest a problem with randomization.</p>,Low risk,<p>Both participants and those delivering the intervention were aware of intervention received. The majority of the patients adhered to the assigned intervention. The analysis was appropriate (mITT).</p>,Low risk,<p>Data for this outcome were reported for all participants that meet inclusion and exclusion criteria (miTT population).</p>,Low risk,"<p>Outcome assessors were aware of the intervention received. By following a clinical protocol, knowledge of the intervention received could only minimally affect the outcome measurement.</p>",Low risk,<p>The protocol was prospectively registered and the outcome was reported as registered.</p>,Low risk,<p>Due to low risk of bias in all domains.</p>
2,4,Symptom resolution: all initial symptoms resolved (asymptomatic) at day 14,,SUBGROUP_AND_OVERALL,Bounfrate 2021,2021,0.0,0.0,0.0,0.0,17,53,0.0,0.0,13,27,0.0,0.0,31.666881,0.666183,0.382891,1.159074,"Time point (14 days), participants (WHO 1 to 3), intervention (ivermectin and, 0.6 mg/kg and 1.2 mg/kg daily for 5 days), comparator (placebo)",Low risk,<p>Centralized web-based randomization. There are no baseline differences that would suggest a problem with randomization.</p>,Low risk,<p>Both participants and those delivering the intervention were not aware of the intervention received and the analysis was appropriate.</p>,Low risk,"<p>Data for this outcome were reported for all participants that were randomized, were symptomatic at baseline and did not withdraw consent before the study start.</p>",Low risk,<p>Knowledge of intervention received could have affected outcome measurement. But patients and outcome assessors were not aware of the intervention received.</p>,Low risk,<p>The protocol was prospectively registered and the outcome in the journal publication was reported as registered.</p>,Low risk,<p>Due to low risk of bias in all domains.</p>
2,4,Symptom resolution: all initial symptoms resolved (asymptomatic) at day 14,,SUBGROUP_AND_OVERALL,López-Medina 2021,2021,0.0,0.0,0.0,0.0,126,200,0.0,0.0,120,198,0.0,0.0,68.333119,1.0395,0.890628,1.213256,"Time point (15 days), participants (WHO 2 to 5, < 1% participants at WHO 4 and 5), intervention (ivermectin 0.3 mg/kg daily for 5 days), comparator (placebo)",Low risk,<p>Random sequence was generated by an independent pharmacist using a computer-based programme. Allocation assignment was concealed from investigators and patients. There was no baseline imbalance that would suggest a problem with randomization.</p>,Some concerns,"<p>Both participants and those delivering the intervention were not aware of intervention received. The primary analysis is a per-protocol analysis. 76 (16%) participants receiving the wrong intervention due to a labelling error in the early study phase were excluded. The analysis was not appropriate, but an as-treated sensitivity analysis was reported and results did not differ.</p>",Low risk,<p>Data for this outcome were available for all participants included in the per protocol population. Reasons for missing outcome data reported an unrelated to the outcome (labelling error).</p>,Low risk,"<p>Outcome assessors were not aware of the intervention received. By following a clinical protocol, knowledge of the intervention received could only minimally affect the outcome measurement.</p>",Low risk,<p>The protocol was prospectively registered. The primary outcome was changed 6 weeks after start of recruitment and the outcome symptom resolution was added as a new primary outcome. The originally registered outcome was time until clinical deterioriation. Since the incidence of clinical deterioration was below 3% after 6 weeks the original planned analysis was futile. Results per group were not known at that time point. Results were not selected from multiple outcome measurements or analyses of the data.</p>,Some concerns,<p>Due to inappropriate analysis (per protocol analysis).</p>
2,5,Symptom resolution: all initial symptoms resolved (asymptomatic) at day 28,,SUBGROUP_AND_OVERALL,Bounfrate 2021,2021,0.0,0.0,0.0,0.0,40,53,0.0,0.0,21,27,0.0,0.0,12.817596,0.97035,0.753152,1.250185,"Time point (30 days), participants (WHO 1 to 3), intervention (ivermectin and, 0.6 mg/kg and 1.2 mg/kg daily for 5 days), comparator (placebo)",Low risk,<p>Centralized web-based randomization. There are no baseline differences that would suggest a problem with randomization.</p>,Low risk,<p>Both participants and those delivering the intervention were not aware of the intervention received and the analysis was appropriate.</p>,Low risk,"<p>Data for this outcome were reported for all participants that were randomised, were symptomatic at baseline and did not withdraw consent before the study start.</p>",Low risk,<p>Knowledge of intervention received could have affected outcome measurement. But patients and outcome assessors were not aware of the intervention received.</p>,Low risk,<p>The protocol was prospectively registered and the outcome in the journal publication was reported as registered.</p>,Low risk,<p>Due to low risk of bias in all domains.</p>
2,5,Symptom resolution: all initial symptoms resolved (asymptomatic) at day 28,,SUBGROUP_AND_OVERALL,López-Medina 2021,2021,0.0,0.0,0.0,0.0,164,200,0.0,0.0,156,198,0.0,0.0,87.182404,1.040769,0.944407,1.146964,"Time point (21 days), participants (WHO 2 to 5, < 1% participants at WHO 4 and 5), intervention (ivermectin 0.3 mg/kg daily for 5 days), comparator (placebo)",Low risk,<p>Random sequence was generated by an independent pharmacist using a computer-based programme. Allocation assignment was concealed from investigators and patients. There was no baseline imbalance that would suggest a problem with randomization.</p>,Some concerns,"<p>Both participants and those delivering the intervention were not aware of intervention received. The primary analysis is a per-protocol analysis. 76 (16%) participants receiving the wrong intervention due to a labelling error in the early study phase were excluded. The analysis was not appropriate, but an as-treated sensitivity analysis was reported and results did not differ.</p>",Low risk,<p>Data for this outcome were available for all participants included in the per protocol population. Reasons for missing outcome data reported an unrelated to the outcome (labelling error).</p>,Low risk,"<p>Outcome assessors were not aware of the intervention received. By following a clinical protocol, knowledge of the intervention received could only minimally affect the outcome measurement.</p>",Low risk,<p>The protocol was prospectively registered. The primary outcome was changed 6 weeks after start of recruitment and the outcome symptom resolution was added as a new primary outcome. The originally registered outcome was time until clinical deterioriation. Since the incidence of clinical deterioration was below 3% after 6 weeks the original planned analysis was futile. Results per group were not known at that time point. Results were not selected from multiple outcome measurements or analyses of the data.</p>,Some concerns,<p>Due to inappropriate analysis (per protocol analysis).</p>
2,6,Quality of life (physical component) at up to 28 days,,SUBGROUP_AND_OVERALL,TOGETHER 2022,2022,0.0,0.0,49.6,7.8,0,679,49.6,10.4,0,679,0.0,0.0,100.0,0.0,-0.977815,0.977815,"Time point (28 days), participants (WHO 2 to 3), intervention (ivermectin 0.4 mg/kg daily for 3 days), comparator (placebo)",Low risk,<p>Centralized web- and text message-based randomization. There are no baseline differences that would suggest a problem with randomization.</p>,Low risk,<p>Both participants and those delivering the intervention were not aware of the intervention received and the analysis was appropriate.</p>,Low risk,<p>Data for this outcome were available for all randomized participants.</p>,Low risk,<p>Knowledge of intervention received could have affected outcome measurement. But outcome assessors were not aware of the intervention received. </p>,Low risk,<p>The protocol was prospectively registered and the outcome in the journal publication was reported as registered.</p>,Low risk,<p>Due to low risk of bias in all domains.</p>
2,7,Quality of life (mental component) at up to 28 days,,SUBGROUP_AND_OVERALL,TOGETHER 2022,2022,0.0,0.0,52.5,11.2,0,679,52.5,9.0,0,679,0.0,0.0,100.0,0.0,-1.080712,1.080712,"Time point (28 days), participants (WHO 2 to 3), intervention (ivermectin 0.4 mg/kg daily for 3 days), comparator (placebo)",Low risk,<p>Centralized web- and text message-based randomization. There are no baseline differences that would suggest a problem with randomization.</p>,Low risk,<p>Both participants and those delivering the intervention were not aware of the intervention received and the analysis was appropriate.</p>,Low risk,<p>Data for this outcome were available for all randomized participants.</p>,Low risk,<p>Knowledge of intervention received could have affected outcome measurement. But outcome assessors were not aware of the intervention received. </p>,Low risk,<p>The protocol was prospectively registered and the outcome in the journal publication was reported as registered.</p>,Low risk,<p>Due to low risk of bias in all domains.</p>
2,8,Serious adverse events during the study period,,SUBGROUP_AND_OVERALL,Bounfrate 2021,2021,0.0,0.0,0.0,0.0,4,58,0.0,0.0,0,31,0.0,0.0,20.215296,4.881356,0.271319,87.821417,"Time point (30 days), participants (WHO 1 to 3), intervention (ivermectin and, 0.6 mg/kg and 1.2 mg/kg daily for 5 days), comparator (placebo)",Low risk,<p>Centralized web-based randomization. There are no baseline differences that would suggest a problem with randomization.</p>,Low risk,<p>Both participants and those delivering the intervention were not aware of the intervention received and the analysis was appropriate.</p>,Low risk,<p>Data for this outcome were reported for all participants that were randomized and did not withdraw consent before the study start.</p>,Some concerns,<p>Outcome assessors were not aware of the intervention received. There was insufficient information on definition and measurement of the outcome. </p>,Some concerns,<p>The protocol was prospectively registered. The outcome any serious adverse events was not registered. Prespecification in the protocol could not be judged since the protocol itself was not published.</p>,Some concerns,<p>Due to insufficient information on outcome definition and measurement of the outcome as well as lack of prospectively registering the outcome.</p>
2,8,Serious adverse events during the study period,,SUBGROUP_AND_OVERALL,Chaccour 2021,2021,0.0,0.0,0.0,0.0,0,12,0.0,0.0,0,12,0.0,0.0,,,,,"Time point (28 days), participants (WHO 2 to 3), intervention (ivermectin 0.4 mg/kg, single dose), comparator (placebo)",Low risk,<p>Randomization was performed by an independent trial statistician generating a list of random numbers. There was no baseline imbalance that would suggest a problem with randomization.</p>,Low risk,"<p>Both participants and those delivering the intervention were not aware of the intervention received, there were no deviations from intended interventions and the analysis was appropriate.</p>",Low risk,<p>Data for this outcome were available for all randomized participants.</p>,Some concerns,<p>Outcome assessors were not aware of the intervention received. There was insufficient information on definition and measurement of the outcome.</p>,Some concerns,<p>The protocol was prospectively registered. The outcome was not prespecified.</p>,Some concerns,<p>Due to lack of information on definition and measurement of the outcome. Due to lack of prospectively registering the outcome.</p>
2,8,Serious adverse events during the study period,,SUBGROUP_AND_OVERALL,I-TECH 2022,2022,0.0,0.0,0.0,0.0,4,241,0.0,0.0,1,249,0.0,0.0,35.389996,4.13278,0.465247,36.711415,"Time point (28 days), participants (WHO 2 to 4), intervention (ivermectin 0.4 mg/kg daily for 5 days), comparator (SoC)",Low risk,<p>Centralized web-based randomization. There are no baseline differences that would suggest a problem with randomization.</p>,Low risk,<p>Both participants and those delivering the intervention were aware of intervention received. The majority of the patients adhered to the assigned intervention. The analysis was appropriate (mITT).</p>,Low risk,<p>Data for this outcome were reported for all participants that meet inclusion and exclusion criteria (miTT population).</p>,Some concerns,"<p>Outcome assessors were aware of the intervention received. There was sufficient and clear information on definition and measurement of the outcome. Judgement of severity of symptoms could have been influenced by knowledge of the intervention, assuming a protocol was followed and regarding the results it seems not likely.</p>",Low risk,"<p>The protocol was prospectively registered and the outcome was not specifically registered, but only reported upon request. Therefore no bias was introduced.</p>",Some concerns,<p>Due to some risk of bias in measurement of the outcome caused by lack of blinding the outcome assessors.</p>
2,8,Serious adverse events during the study period,,SUBGROUP_AND_OVERALL,López-Medina 2021,2021,0.0,0.0,0.0,0.0,2,200,0.0,0.0,2,198,0.0,0.0,44.394709,0.99,0.140839,6.959026,"Time point (21 days), participants (WHO 2 to 5 , < 1% participants at WHO 4 and 5), intervention (ivermectin 0.3 mg/kg daily for 5 days), comparator (placebo)",Low risk,<p>Random sequence was generated by an independent pharmacist using a computer-based programme. Allocation assignment was concealed from investigators and patients. There was no baseline imbalance that would suggest a problem with randomization.</p>,Some concerns,"<p>Both participants and those delivering the intervention were not aware of intervention received. The primary analysis is a per-protocol analysis. 76 (16%) participants receiving the wrong intervention due to a labelling error in the early study phase were excluded. The analysis was not appropriate, but an as-treated sensitivity analysis was reported and results did not differ.</p>",Low risk,<p>Data for this outcome were available for all participants included in the per protocol population. Reasons for missing outcome data are reported and are unrelated to the outcome (labelling error).</p>,Low risk,<p>Knowledge of intervention received could have affected outcome measurement. But outcome assessors were not aware of the intervention received.</p>,Low risk,<p>The protocol was prospectively registered. The outcome of the journal publication was not registered. Due to relevance of this outcome data in this context of this trial we did not assume that the results have been selected.</p>,Some concerns,<p>Due to inappropriate analysis (per protocol analysis).</p>
2,8,Serious adverse events during the study period,,SUBGROUP_AND_OVERALL,Vallejos 2021,2021,0.0,0.0,0.0,0.0,0,250,0.0,0.0,0,251,0.0,0.0,,,,,"Time point (median 12 days), participants (WHO 1 to 3), intervention (ivermectin 12 to 24 mg daily for 2 days), comparator (placebo)",Low risk,<p>Randomization was performed by an team member who was not part of any other part of the study using a computer-based programme. There was no baseline imbalance that would suggest a problem with randomization.</p>,Low risk,<p>Both participants and those delivering the intervention were not aware of the intervention received and the analysis was appropriate.</p>,Low risk,<p>Data for this outcome were available for all randomized participants.</p>,Low risk,<p>Knowledge of intervention received could have affected outcome measurement. But outcome assessors were not aware of the intervention received.</p>,Low risk,<p>The protocol was prospectively registered and the outcome in the journal publication was reported as registered.</p>,Low risk,<p>Due to low risk of bias in all domains.</p>
2,9,Any adverse events during the study period,,SUBGROUP_AND_OVERALL,Bounfrate 2021,2021,0.0,0.0,0.0,0.0,53,58,0.0,0.0,20,31,0.0,0.0,25.606243,1.416379,1.078245,1.860552,"Time point (30 days), participants (WHO 1 to 3), intervention (ivermectin and, 0.6 mg/kg and 1.2 mg/kg daily for 5 days), comparator (placebo)",Low risk,<p>Centralized web-based randomization. There are no baseline differences that would suggest a problem with randomization.</p>,Low risk,<p>Both participants and those delivering the intervention were not aware of the intervention received and the analysis was appropriate.</p>,Low risk,<p>Data for this outcome were reported for all participants that were randomised and did not withdraw consent before the study start.</p>,Low risk,<p>Knowledge of intervention received could have affected outcome measurement. But outcome assessors were not aware of the intervention received.</p>,Some concerns,<p>The protocol was prospectively registered. The outcome any adverse events was not registered. Prespecification in the protocol could not be judged since the protocol itself was not published.</p>,Some concerns,<p>Due to lack of prospectively registering the outcome.</p>
2,9,Any adverse events during the study period,,SUBGROUP_AND_OVERALL,Chaccour 2021,2021,0.0,0.0,0.0,0.0,5,12,0.0,0.0,5,12,0.0,0.0,9.415372,1.0,0.387999,2.577326,"Time point (28 days), participants (WHO 2 to 3), intervention (ivermectin 0.4 mg/kg, single dose), comparator (placebo)",Low risk,<p>Randomization was performed by an independent trial statistician generating a list of random numbers. There was no baseline imbalance that would suggest a problem with randomization.</p>,Low risk,"<p>Both participants and those delivering the intervention were not aware of the intervention received, there were no deviations from intended interventions and the analysis was appropriate.</p>",Low risk,<p>Data for this outcome were available for all randomized participants.</p>,Low risk,<p>Knowledge of intervention received could have affected outcome measurement. But outcome assessors were not aware of the intervention received.</p>,Low risk,<p>The protocol was prospectively registered and the outcome drug-related adverse events (7 days) in the journal publication was reported as registered. Any adverse events within 28 days was not registered but results were in full detail reported in the trial register. Due to relevance of this outcome data in this context of this trial we did not assume that the results have been selected.</p>,Low risk,<p>Due to low risk of bias in all domains.</p>
2,9,Any adverse events during the study period,,SUBGROUP_AND_OVERALL,I-TECH 2022,2022,0.0,0.0,0.0,0.0,30,241,0.0,0.0,10,249,0.0,0.0,13.838949,3.099585,1.549374,6.200844,"Time point (28 days), participants (WHO 2 to 4), intervention (ivermectin 0.4 mg/kg daily for 5 days), comparator (SoC)",Low risk,<p>Centralized web-based randomization. There are no baseline differences that would suggest a problem with randomization.</p>,Low risk,<p>Both participants and those delivering the intervention were aware of intervention received. The majority of the patients adhered to the assigned intervention. The analysis was appropriate (mITT).</p>,Low risk,<p>Data for this outcome were reported for all participants that meet inclusion and exclusion criteria (miTT population).</p>,High risk,<p>Outcome assessors were aware of the intervention received. Knowledge of intervention received could have affected outcome reporting by patients.</p>,Low risk,<p>The protocol was prospectively registered and the outcome was reported as registered.</p>,High risk,<p>Due to high risk of bias in measurement of the outcome caused by lack of blinding the outcome assessors.</p>
2,9,Any adverse events during the study period,,SUBGROUP_AND_OVERALL,López-Medina 2021,2021,0.0,0.0,0.0,0.0,154,200,0.0,0.0,161,198,0.0,0.0,29.579739,0.946957,0.856007,1.04757,"Time point (21 days), participants (WHO 2 to 5, < 1% participants at WHO 4 and 5), intervention (ivermectin 0.3 mg/kg daily for 5 days), comparator (placebo)",Low risk,<p>Random sequence was generated by an independent pharmacist using a computer-based programme. Allocation assignment was concealed from investigators and patients. There was no baseline imbalance that would suggest a problem with randomization.</p>,Some concerns,"<p>Both participants and those delivering the intervention were not aware of intervention received. The primary analysis is a per-protocol analysis. 76 (16%) participants receiving the wrong intervention due to a labelling error in the early study phase were excluded. The analysis was not appropriate, but an as-treated sensitivity analysis was reported and results did not differ.</p>",Low risk,<p>Data for this outcome were available for all participants included in the per protocol population. Reasons for missing outcome data are reported and are unrelated to the outcome (labelling error).</p>,Low risk,<p>Knowledge of intervention received could have affected outcome measurement. But outcome assessors were not aware of the intervention received.</p>,Low risk,<p>The protocol was prospectively registered and the outcome in the journal publication was reported as registered.</p>,Some concerns,<p>Due to inappropriate analysis (per protocol analysis).</p>
2,9,Any adverse events during the study period,,SUBGROUP_AND_OVERALL,Vallejos 2021,2021,0.0,0.0,0.0,0.0,38,250,0.0,0.0,41,251,0.0,0.0,21.559696,0.930537,0.620578,1.39531,"Time point (median 12 days), participants (WHO 1 to 3), intervention (ivermectin 12 to 24 mg daily for 2 days), comparator (placebo)",Low risk,<p>Randomization was performed by an team member who was not part of any other part of the study using a computer-based programme. There was no baseline imbalance that would suggest a problem with randomization.</p>,Low risk,<p>Both participants and those delivering the intervention were not aware of the intervention received and the analysis was appropriate.</p>,Low risk,<p>Data for this outcome were available for all randomized participants.</p>,Low risk,<p>Knowledge of intervention received could have affected outcome measurement. But outcome assessors were not aware of the intervention received.</p>,Low risk,<p>The protocol was prospectively registered and the outcome in the journal publication was reported as registered.</p>,Low risk,<p>Due to low risk of bias in all domains.</p>
2,10,Viral clearance at day 3,,SUBGROUP_AND_OVERALL,TOGETHER 2022,2022,0.0,0.0,0.0,0.0,11,148,0.0,0.0,17,170,0.0,0.0,6.287976,0.743243,0.359719,1.535671,"Time point (3 days), participants (WHO 2 to 3), intervention (ivermectin 0.4 mg/kg daily for 3 days), comparator (placebo)",Low risk,<p>Centralized web- and text message-based randomization. There are no baseline differences that would suggest a problem with randomization.</p>,Low risk,<p>Both participants and those delivering the intervention were not aware of the intervention received and the analysis was appropriate.</p>,Some concerns,"<p>Data for this outcome were not available for the number of participants as prespecified in the trial protocol, however it seems unlikely that missing data depended on its true value.</p>",Low risk,<p>Outcome assessors were not aware of the intervention received. Knowledge of intervention received could not have affected outcome measurement.</p>,Low risk,<p>The protocol was prospectively registered and the outcome in the journal publication was reported as registered.</p>,Some concerns,<p>Due to insufficient information on reason for missing number of participants that should have been evaluated for this outcome (according to trial protocol).</p>
2,10,Viral clearance at day 3,,SUBGROUP_AND_OVERALL,Vallejos 2021,2021,0.0,0.0,0.0,0.0,113,250,0.0,0.0,120,251,0.0,0.0,93.712024,0.945433,0.783415,1.140959,"Time point (3±1 days), participants (WHO 1 to 3), intervention (ivermectin 12 to 24 mg daily for 2 days), comparator (placebo)",Low risk,<p>Randomization was performed by an team member who was not part of any other part of the study using a computer-based programme. There was no baseline imbalance that would suggest a problem with randomization.</p>,Low risk,<p>Both participants and those delivering the intervention were not aware of the intervention received and the analysis was appropriate.</p>,Low risk,<p>Data for this outcome were available for all randomized participants.</p>,Low risk,<p>Outcome assessors were not aware of the intervention received. Knowledge of intervention received could not have affected outcome measurement.</p>,Low risk,<p>The protocol was prospectively registered and the outcome in the journal publication was reported as registered.</p>,Low risk,<p>Due to low risk of bias in all domains.</p>
2,11,Viral clearance at day 7,,SUBGROUP_AND_OVERALL,Chaccour 2021,2021,0.0,0.0,0.0,0.0,1,12,0.0,0.0,0,12,0.0,0.0,1.508422,3.0,0.134217,67.055684,"Measured by E-gene clearance, time point (7 days), participants (WHO 2 to 3), intervention (ivermectin 0.4 mg/kg, single dose), comparator (placebo)",Low risk,<p>Randomization was performed by an independent trial statistician generating a list of random numbers. There was no baseline imbalance that would suggest a problem with randomization.</p>,Low risk,"<p>Both participants and those delivering the intervention were not aware of the intervention received, there were no deviations from intended interventions and the analysis was appropriate.</p>",Low risk,<p>Data for this outcome were available for all randomized participants.</p>,Low risk,<p>Outcome assessors were not aware of the intervention received. Knowledge of intervention received could not have affected outcome measurement.</p>,Low risk,<p>The protocol was prospectively registered and the outcome in the journal publication was reported as registered.</p>,Low risk,<p>Due to low risk of bias in all domains.</p>
2,11,Viral clearance at day 7,,SUBGROUP_AND_OVERALL,TOGETHER 2022,2022,0.0,0.0,0.0,0.0,36,142,0.0,0.0,42,165,0.0,0.0,98.491578,0.995976,0.678055,1.462961,"Time point (7 days), participants (WHO 2 to 3), intervention (ivermectin 0.4 mg/kg daily for 3 days), comparator (placebo)",Low risk,<p>Centralized web- and text message-based randomization. There are no baseline differences that would suggest a problem with randomization.</p>,Low risk,<p>Both participants and those delivering the intervention were not aware of the intervention received and the analysis was appropriate.</p>,Some concerns,"<p>Data for this outcome were not available for the number of participants as prespecified in the trial protocol and also differed from the number evaluated for this outcome at a preceding timepoint, however it seems unlikely that missing data depended on its true value.</p>",Low risk,<p>Outcome assessors were not aware of the intervention received. Knowledge of intervention received could not have affected outcome measurement.</p>,Low risk,<p>The protocol was prospectively registered and the outcome in the journal publication was reported as registered.</p>,Some concerns,<p>Due to insufficient information on reason for missing number of participants that should have been evaluated for this outcome (according to trial protocol and preceding timepoint).</p>
2,12,Viral clearance at day 14,,SUBGROUP_AND_OVERALL,Bounfrate 2021,2021,0.0,0.0,0.0,0.0,31,58,0.0,0.0,16,29,0.0,0.0,2.839817,0.96875,0.645109,1.454756,"Time point (14 days), participants (WHO 1 to 3), intervention (ivermectin and, 0.6 mg/kg and 1.2 mg/kg daily for 5 days), comparator (placebo)",Low risk,<p>Centralized web-based randomization. There are no baseline differences that would suggest a problem with randomization.</p>,Low risk,<p>Both participants and those delivering the intervention were not aware of the intervention received and the analysis was appropriate.</p>,Low risk,"<p>Data for this outcome were reported for nearly all participants that were randomised, were symptomatic at baseline and did not withdraw consent before the study start.</p>",Low risk,<p>Outcome assessors were not aware of the intervention received. Knowledge of intervention received could not have affected outcome measurement.</p>,Low risk,<p>The protocol was prospectively registered and the outcome in the journal publication was reported as registered.</p>,Low risk,<p>Due to low risk of bias in all domains.</p>
2,12,Viral clearance at day 14,,SUBGROUP_AND_OVERALL,Vallejos 2021,2021,0.0,0.0,0.0,0.0,212,250,0.0,0.0,221,251,0.0,0.0,97.160183,0.963113,0.89844,1.032442,"Time point (12±2 days), participants (WHO 1 to 3), intervention (ivermectin 12 to 24 mg daily for 2 days), comparator (placebo)",Low risk,<p>Randomization was performed by an team member who was not part of any other part of the study using a computer-based programme. There was no baseline imbalance that would suggest a problem with randomization.</p>,Low risk,<p>Both participants and those delivering the intervention were not aware of the intervention received and the analysis was appropriate.</p>,Low risk,<p>Data for this outcome were available for all randomized participants.</p>,Low risk,<p>Outcome assessors were not aware of the intervention received. Knowledge of intervention received could not have affected outcome measurement.</p>,Low risk,<p>The protocol was prospectively registered and the outcome in the journal publication was reported as registered.</p>,Low risk,<p>Due to low risk of bias in all domains.</p>
