"Review","Added","Outcome","Study","Experimental.mean","Experimental.SD","Experimental.cases","Experimental.N","Control.mean","Control.SD","Control.cases","Control.N","Weight","Mean","CI.start","CI.end","random.sequence.generation..selection.bias.","allocation.concealment..selection.bias.","performance.bias","detection.bias","attrition.bias","reporting.bias","other.bias","Overall.bias","measure","yi","vi"
"Remdesivir COVID-19","2021-08-01","SAEs","Spinner 2020",NA,NA,10,193,NA,NA,18,200,9.136334,0.575705,0.272681,1.215475,NA,NA,NA,NA,NA,NA,NA,"Some concerns","RR",-0.552159487258968,0.145374208405296
"Remdesivir COVID-19","2023-01-01","SAEs","WHO Solidarity France 2021",NA,NA,135,406,NA,NA,130,418,37.167059,1.069155,0.876773,1.30375,NA,NA,NA,NA,NA,NA,NA,"Some concerns","RR",0.0668686009058708,0.0102443164149153
"Remdesivir COVID-19","2021-08-01","SAEs","Wang 2020",NA,NA,28,155,NA,NA,20,78,16.330415,0.704516,0.425091,1.167616,NA,NA,NA,NA,NA,NA,NA,"Some concerns","RR",-0.350244053608442,0.0664421599905471
"Systemic corticosteroids COVID-19","2022-11-01","Mortality120","Edalatifard 2020",NA,NA,2,34,NA,NA,12,28,26.489611,0.137255,0.033479,0.562703,NA,NA,NA,NA,NA,NA,NA,"Some concerns","RR",-1.98591548366901,0.518207282913165
"Systemic corticosteroids COVID-19","2022-11-01","Mortality120","Jeronimo 2020",NA,NA,80,194,NA,NA,82,199,42.929989,1.000754,0.790269,1.267302,NA,NA,NA,NA,NA,NA,NA,"Some concerns","RR",0.000754053070792682,0.0145153571478211
"Systemic corticosteroids COVID-19","2022-11-01","Mortality120","Munch 2021a",NA,NA,7,16,NA,NA,3,14,30.5804,2.041667,0.648642,6.426353,NA,NA,NA,NA,NA,NA,NA,"Low risk","RR",0.713766467762681,0.342261904761905
"Oral anticoagulation","2021-10-01","Mortality6","Chahinian 1989",NA,NA,28,100,NA,NA,33,84,20.657497,0.712727,0.472221,1.075725,"Low risk","High risk","High risk","Low risk","Low risk","Low risk","Low risk",NA,"RR",-0.338656438436054,0.0441125541125541
"Oral anticoagulation","2021-10-01","Mortality6","Maurer 1997",NA,NA,12,176,NA,NA,12,168,6.12784,0.954545,0.441208,2.065143,"Low risk","Low risk","High risk","Low risk","Low risk","Low risk","Low risk",NA,"RR",-0.0465200156348926,0.155032467532468
"Oral anticoagulation","2021-10-01","Mortality6","Zacharski 1984",NA,NA,100,210,NA,NA,99,208,73.214663,1.000481,0.818194,1.22338,"Low risk","High risk","High risk","Low risk","Low risk","Low risk","Low risk",NA,"RR",0.000480884837350759,0.010531413031413
"Oral anticoagulation","2021-10-01","Mortality12","Chahinian 1989",NA,NA,74,100,NA,NA,68,84,30.195846,0.914118,0.782279,1.068175,"Low risk","High risk","High risk","Low risk","Low risk","Low risk","Low risk",NA,"RR",-0.0897959991167147,0.00631463396169279
"Oral anticoagulation","2021-10-01","Mortality12","Levine 1994",NA,NA,87,152,NA,NA,99,159,21.848923,0.919258,0.765455,1.103966,"Low risk","High risk","Low risk","Low risk","Low risk","Low risk","Low risk",NA,"RR",-0.0841880501060511,0.00872700743005164
"Oral anticoagulation","2021-10-01","Mortality12","Maurer 1997",NA,NA,47,176,NA,NA,48,168,6.256641,0.934659,0.663829,1.315982,"Low risk","Low risk","High risk","Low risk","Low risk","Low risk","Low risk",NA,"RR",-0.0675734248327251,0.030475729943815
"Oral anticoagulation","2021-10-01","Mortality12","Stanford 1979",NA,NA,9,12,NA,NA,6,12,1.716081,1.5,0.780472,2.88287,"Low risk","High risk","High risk","Low risk","Low risk","Unclear risk","Low risk",NA,"RR",0.405465108108164,0.111111111111111
"Oral anticoagulation","2021-10-01","Mortality12","Zacharski 1984",NA,NA,138,210,NA,NA,141,208,39.982508,0.969402,0.846685,1.109906,"Low risk","High risk","High risk","Low risk","Low risk","Low risk","Low risk",NA,"RR",-0.0310756562371143,0.00476897832355742
"Oral anticoagulation","2021-10-01","Major bleeding","Chahinian 1989",NA,NA,7,100,NA,NA,0,84,2.507979,12.623762,0.731575,217.830649,"Low risk","High risk","High risk","Low risk","Low risk","Low risk","Low risk",NA,"RR",2.53558094075127,2.11166763735197
"Oral anticoagulation","2021-10-01","Major bleeding","Levine 1994",NA,NA,1,152,NA,NA,2,159,3.539925,0.523026,0.047918,5.708827,"Low risk","High risk","Low risk","Low risk","Low risk","Low risk","Low risk",NA,"RR",-0.64812349918599,1.48713174445548
"Oral anticoagulation","2021-10-01","Major bleeding","Maurer 1997",NA,NA,12,176,NA,NA,3,168,12.330959,3.818182,1.096815,13.291673,"Low risk","Low risk","High risk","Low risk","Low risk","Low risk","Low risk",NA,"RR",1.339774345485,0.405032467532468
"Oral anticoagulation","2021-10-01","Major bleeding","Stanford 1979",NA,NA,0,12,NA,NA,0,12,0,NA,NA,NA,"Low risk","High risk","High risk","Low risk","Low risk","Unclear risk","Low risk",NA,"RR",0,3.84615384615385
"Oral anticoagulation","2021-10-01","Major bleeding","Zacharski 1984",NA,NA,88,210,NA,NA,30,208,81.621136,2.905397,2.012198,4.195079,"Low risk","High risk","High risk","Low risk","Low risk","Low risk","Low risk",NA,"RR",1.0665699817999,0.0351273726273726
"Oral anticoagulation","2021-10-01","Minor bleeding","Chahinian 1989",NA,NA,29,100,NA,NA,3,84,17.379132,8.12,2.564061,25.714829,"Low risk","High risk","High risk","Low risk","Low risk","Low risk","Low risk",NA,"RR",2.09433015417359,0.345911330049261
"Oral anticoagulation","2021-10-01","Minor bleeding","Levine 1994",NA,NA,7,152,NA,NA,3,159,13.55283,2.440789,0.64289,9.266683,"Low risk","High risk","Low risk","Low risk","Low risk","Low risk","Low risk",NA,"RR",0.892321541761159,0.463322220645955
"Oral anticoagulation","2021-10-01","Minor bleeding","Maurer 1997",NA,NA,73,176,NA,NA,27,168,66.269703,2.580808,1.751614,3.802534,"Low risk","Low risk","High risk","Low risk","Low risk","Low risk","Low risk",NA,"RR",0.948102559509169,0.0391014680398242
"Oral anticoagulation","2021-10-01","Minor bleeding","Stanford 1979",NA,NA,1,12,NA,NA,0,12,2.798335,3,0.134217,67.055684,"Low risk","High risk","High risk","Low risk","Low risk","Unclear risk","Low risk",NA,"RR",1.09861228866811,2.51282051282051
"Inhaled corticosteroids COVID-19","2022-03-01","Mortality","Clemency 2021",NA,NA,0,197,NA,NA,0,203,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Low risk","RR",0.0298529631496809,3.99004753416518
"Inhaled corticosteroids COVID-19","2022-03-01","Mortality","Ramakrishnan 2021",NA,NA,0,73,NA,NA,0,73,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Some concerns","RR",0,3.97297297297297
"Inhaled corticosteroids COVID-19","2022-03-01","Mortality","Yu 2021",NA,NA,6,787,NA,NA,10,799,100,0.609149,0.222458,1.668008,NA,NA,NA,NA,NA,NA,NA,"Low risk","RR",-0.49569292641712,0.264144454180602
"Inhaled corticosteroids COVID-19","2022-03-01","Hospital or death","Clemency 2021",NA,NA,3,197,NA,NA,7,203,6.06505,0.441624,0.115843,1.68359,NA,NA,NA,NA,NA,NA,NA,"Low risk","RR",-0.817295610083404,0.466188225684112
"Inhaled corticosteroids COVID-19","2022-03-01","Hospital or death","Yu 2021",NA,NA,52,787,NA,NA,75,838,93.93495,0.738263,0.525452,1.037265,NA,NA,NA,NA,NA,NA,NA,"Low risk","RR",-0.303454542890203,0.0301001371111726
"Inhaled corticosteroids COVID-19","2022-03-01","Symptom resolution","Clemency 2021",NA,NA,81,197,NA,NA,76,203,12.460062,1.09825,0.860445,1.401779,NA,NA,NA,NA,NA,NA,NA,"High risk","RR",0.0937180646899066,0.0155013232428238
"Inhaled corticosteroids COVID-19","2022-03-01","Symptom resolution","Yu 2021",NA,NA,462,787,NA,NA,390,799,87.539938,1.202678,1.096899,1.318658,NA,NA,NA,NA,NA,NA,NA,"High risk","RR",0.184550849306918,0.00220639224253971
"Janus kinase inhibitors COVID-19","2022-06-01","Mortality28","Cao 2020",NA,NA,0,20,NA,NA,3,21,0.652719,0.14966,0.008216,2.726012,NA,NA,NA,NA,NA,NA,NA,"Some concerns","RR",-1.89939013342042,2.19264069264069
"Janus kinase inhibitors COVID-19","2022-06-01","Mortality28","Ely 2022",NA,NA,20,51,NA,NA,29,50,18.213861,0.676133,0.446391,1.024113,NA,NA,NA,NA,NA,NA,NA,"Low risk","RR",-0.391366183728663,0.0448749154834348
"Janus kinase inhibitors COVID-19","2022-06-01","Mortality28","Guimarães 2021",NA,NA,4,144,NA,NA,8,145,3.670655,0.503472,0.155036,1.635001,NA,NA,NA,NA,NA,NA,NA,"Low risk","RR",-0.686226737715371,0.361159003831418
"Janus kinase inhibitors COVID-19","2022-06-01","Mortality28","Horby 2022",NA,NA,513,4148,NA,NA,546,4008,38.018566,0.907849,0.811313,1.015872,NA,NA,NA,NA,NA,NA,NA,"High risk","RR",-0.0966770571588527,0.00329023853371646
"Janus kinase inhibitors COVID-19","2022-06-01","Mortality28","Kalil 2021",NA,NA,24,515,NA,NA,37,518,14.572655,0.652427,0.39611,1.074604,NA,NA,NA,NA,NA,NA,NA,"Low risk","RR",-0.427055740700532,0.0648214441903762
"Janus kinase inhibitors COVID-19","2022-06-01","Mortality28","Marconi 2021",NA,NA,62,764,NA,NA,100,761,24.871544,0.617565,0.457277,0.834039,NA,NA,NA,NA,NA,NA,NA,"Low risk","RR",-0.481970232247835,0.0235060712877238
"Janus kinase inhibitors COVID-19","2022-06-01","Mortality60","Ely 2022",NA,NA,23,51,NA,NA,31,50,34.053386,0.727388,0.501157,1.055743,NA,NA,NA,NA,NA,NA,NA,"Low risk","RR",-0.318295615852176,0.0361284822484393
"Janus kinase inhibitors COVID-19","2022-06-01","Mortality60","Marconi 2021",NA,NA,79,764,NA,NA,116,761,65.946614,0.67836,0.519036,0.886591,NA,NA,NA,NA,NA,NA,NA,"Low risk","RR",-0.388076769944178,0.0186559565329329
"Janus kinase inhibitors COVID-19","2022-06-01","AEs","Ely 2022",NA,NA,44,50,NA,NA,47,49,45.973539,0.917447,0.815717,1.031864,NA,NA,NA,NA,NA,NA,NA,"Some concerns","RR",-0.0861606751093168,0.00359570520664746
"Janus kinase inhibitors COVID-19","2022-06-01","AEs","Guimarães 2021",NA,NA,37,142,NA,NA,32,142,5.847681,1.15625,0.765794,1.745788,NA,NA,NA,NA,NA,NA,NA,"Some concerns","RR",0.145182009844498,0.0441925199847735
"Janus kinase inhibitors COVID-19","2022-06-01","AEs","Marconi 2021",NA,NA,334,750,NA,NA,334,752,48.17878,1.002667,0.895519,1.122635,NA,NA,NA,NA,NA,NA,NA,"Some concerns","RR",0.00266311741948377,0.00332490338471992
"Janus kinase inhibitors COVID-19","2022-06-01","SAEs","Ely 2022",NA,NA,25,50,NA,NA,35,49,20.328667,0.7,0.503791,0.972626,NA,NA,NA,NA,NA,NA,NA,"Some concerns","RR",-0.356674943938732,0.0281632653061225
"Janus kinase inhibitors COVID-19","2022-06-01","SAEs","Guimarães 2021",NA,NA,20,142,NA,NA,17,142,6.043145,1.176471,0.643552,2.150693,NA,NA,NA,NA,NA,NA,NA,"Some concerns","RR",0.162518929497775,0.0947390223695112
"Janus kinase inhibitors COVID-19","2022-06-01","SAEs","Kalil 2021",NA,NA,81,507,NA,NA,107,509,32.246655,0.759996,0.585318,0.986802,NA,NA,NA,NA,NA,NA,NA,"Low risk","RR",-0.274442666830128,0.0177544502748582
"Janus kinase inhibitors COVID-19","2022-06-01","SAEs","Marconi 2021",NA,NA,110,750,NA,NA,135,752,41.381534,0.816988,0.648776,1.028813,NA,NA,NA,NA,NA,NA,NA,"Some concerns","RR",-0.20213129522653,0.0138351959309406
"Janus kinase inhibitors COVID-19","2022-06-01","Infection","Ely 2022",NA,NA,35,50,NA,NA,35,49,16.772052,0.98,0.760523,1.262815,NA,NA,NA,NA,NA,NA,NA,"Some concerns","RR",-0.0202027073175196,0.016734693877551
"Janus kinase inhibitors COVID-19","2022-06-01","Infection","Guimarães 2021",NA,NA,7,142,NA,NA,8,142,1.10601,0.875,0.325993,2.348595,NA,NA,NA,NA,NA,NA,NA,"Some concerns","RR",-0.133531392624523,0.253772635814889
"Janus kinase inhibitors COVID-19","2022-06-01","Infection","Horby 2022",NA,NA,403,4148,NA,NA,393,4008,61.886275,0.990835,0.868315,1.130643,NA,NA,NA,NA,NA,NA,NA,"High risk","RR",-0.00920697650729529,0.00453533780367349
"Janus kinase inhibitors COVID-19","2022-06-01","Infection","Marconi 2021",NA,NA,119,750,NA,NA,123,752,20.235663,0.97006,0.770106,1.22193,NA,NA,NA,NA,NA,NA,NA,"Some concerns","RR",-0.0303977448414043,0.0138703220779749
"Colchicine COVID-19","2021-10-01","Mortality","Deftereos 2020",NA,NA,1,55,NA,NA,4,50,0.354645,0.227273,0.026274,1.965949,NA,NA,NA,NA,NA,NA,NA,"High risk","RR",-1.48160454092422,1.21181818181818
"Colchicine COVID-19","2021-10-01","Mortality","Horby 2021",NA,NA,1173,5610,NA,NA,1190,5730,99.645355,1.006799,0.937093,1.08169,NA,NA,NA,NA,NA,NA,NA,"High risk","RR",0.0067760737399436,0.00134007786422725
"Colchicine COVID-19","2021-10-01","Worsening","Deftereos 2020",NA,NA,1,55,NA,NA,6,50,0.471366,0.151515,0.01889,1.215315,NA,NA,NA,NA,NA,NA,NA,"High risk","RR",-1.88706964903238,1.12848484848485
"Colchicine COVID-19","2021-10-01","Worsening","Horby 2021",NA,NA,1344,5342,NA,NA,1343,5469,99.528634,1.024536,0.95953,1.093947,NA,NA,NA,NA,NA,NA,NA,"High risk","RR",0.0242399942367237,0.00111860466630171
"Fluvoxamine COVID-19","2022-09-01","Mortality","Lenze 2020",NA,NA,0,80,NA,NA,0,72,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High risk","RR",-0.103989713524048,3.97395569085067
"Fluvoxamine COVID-19","2022-09-01","Mortality","TOGETHER 2021",NA,NA,17,741,NA,NA,25,756,100,0.693765,0.377807,1.273959,NA,NA,NA,NA,NA,NA,NA,"Low risk","RR",-0.365621729928538,0.0961512504236963
"Fluvoxamine COVID-19","2022-09-01","Hospital or death","Lenze 2020",NA,NA,1,80,NA,NA,5,72,23.49339,0.18,0.021535,1.504553,NA,NA,NA,NA,NA,NA,NA,"Low risk","RR",-1.71479842809193,1.17361111111111
"Fluvoxamine COVID-19","2022-09-01","Hospital or death","TOGETHER 2021",NA,NA,76,741,NA,NA,99,756,76.50661,0.783217,0.591223,1.037559,NA,NA,NA,NA,NA,NA,NA,"Low risk","RR",-0.244345758964813,0.0205866258497837
"Fluvoxamine COVID-19","2022-09-01","SAEs","Lenze 2020",NA,NA,1,80,NA,NA,5,72,25.015528,0.18,0.021535,1.504553,NA,NA,NA,NA,NA,NA,NA,"High risk","RR",-1.71479842809193,1.17361111111111
"Fluvoxamine COVID-19","2022-09-01","SAEs","TOGETHER 2021",NA,NA,77,741,NA,NA,96,756,74.984472,0.81832,0.617112,1.085132,NA,NA,NA,NA,NA,NA,NA,"High risk","RR",-0.200502018730706,0.0207314006656112
"Fluvoxamine COVID-19","2022-09-01","AEs","Lenze 2020",NA,NA,11,80,NA,NA,6,72,7.619008,1.65,0.642999,4.234068,NA,NA,NA,NA,NA,NA,NA,"High risk","RR",0.500775287912489,0.231186868686869
"Fluvoxamine COVID-19","2022-09-01","AEs","TOGETHER 2021",NA,NA,92,741,NA,NA,92,756,92.380992,1.020243,0.778336,1.337334,NA,NA,NA,NA,NA,NA,NA,"High risk","RR",0.0200407508834464,0.0190668514467141
"Antibiotics COVID-19","2021-10-01","Mortality","Cavalcanti 2020",NA,NA,5,172,NA,NA,7,159,0.543248,0.660299,0.213897,2.038341,NA,NA,NA,NA,NA,NA,NA,"Low risk","RR",-0.415062511214435,0.33075388119267
"Antibiotics COVID-19","2021-10-01","Mortality","Sekhavati 2020",NA,NA,0,56,NA,NA,1,55,0.068287,0.327485,0.013628,7.869388,NA,NA,NA,NA,NA,NA,NA,"Some concerns","RR",-1.11631186576751,2.6312656641604
"Antibiotics COVID-19","2021-10-01","Mortality","Furtado 2020",NA,NA,90,212,NA,NA,73,183,12.283155,1.064228,0.839623,1.348918,NA,NA,NA,NA,NA,NA,NA,"Low risk","RR",0.0622501073512826,0.014628279241705
"Antibiotics COVID-19","2021-10-01","Mortality","RECOVERY 2021",NA,NA,561,2582,NA,NA,1162,5181,87.10531,0.968755,0.886246,1.058947,NA,NA,NA,NA,NA,NA,NA,"Low risk","RR",-0.0317432364809598,0.00206280679111542
"Antibiotics COVID-19","2021-10-01","Improvement","CJWT629A12301",NA,NA,7,7,NA,NA,7,7,20.535217,1,0.776444,1.287922,NA,NA,NA,NA,NA,NA,NA,"Low risk","RR",0,0.0166666666666667
"Antibiotics COVID-19","2021-10-01","Improvement","Furtado 2020",NA,NA,69,212,NA,NA,76,183,19.897371,0.783702,0.604848,1.015442,NA,NA,NA,NA,NA,NA,NA,"Low risk","RR",-0.243726957519663,0.0174691863536381
"Antibiotics COVID-19","2021-10-01","Improvement","RECOVERY 2021",NA,NA,1788,2582,NA,NA,3525,5181,59.567411,1.017808,0.985985,1.050657,NA,NA,NA,NA,NA,NA,NA,"Low risk","RR",0.0176510358952909,0.000262662458478428
"Antibiotics COVID-19","2021-10-01","SAEs","CJWT629A12301",NA,NA,0,7,NA,NA,1,7,0.559134,0.333333,0.015836,7.016577,NA,NA,NA,NA,NA,NA,NA,"Low risk","RR",-1.09861228866811,2.41666666666667
"Antibiotics COVID-19","2021-10-01","SAEs","Cavalcanti 2020",NA,NA,3,172,NA,NA,2,159,1.645387,1.386628,0.23474,8.190938,NA,NA,NA,NA,NA,NA,NA,"Low risk","RR",0.326874833514943,0.821230071668861
"Antibiotics COVID-19","2021-10-01","SAEs","NCT04335552",NA,NA,1,5,NA,NA,1,5,0.844526,1,0.083812,11.931478,NA,NA,NA,NA,NA,NA,NA,"Some concerns","RR",0,1.6
"Antibiotics COVID-19","2021-10-01","SAEs","Furtado 2020",NA,NA,102,241,NA,NA,75,198,96.950952,1.117344,0.886537,1.408241,NA,NA,NA,NA,NA,NA,NA,"Some concerns","RR",0.110954796951841,0.0139373722580947
"Antibiotics COVID-19","2021-10-01","AEs","CJWT629A12301",NA,NA,5,7,NA,NA,4,7,11.465146,1.25,0.564806,2.766435,NA,NA,NA,NA,NA,NA,NA,"Low risk","RR",0.22314355131421,0.164285714285714
"Antibiotics COVID-19","2021-10-01","AEs","Cavalcanti 2020",NA,NA,68,172,NA,NA,53,159,87.727614,1.186047,0.889973,1.580618,NA,NA,NA,NA,NA,NA,NA,"Some concerns","RR",0.170625517030763,0.0214705452167703
"Antibiotics COVID-19","2021-10-01","AEs","NCT04335552",NA,NA,1,5,NA,NA,0,5,0.80724,3,0.150276,59.889831,NA,NA,NA,NA,NA,NA,NA,"Some concerns","RR",1.09861228866811,2.33333333333333
"Antibiotics COVID-19","2021-10-01","Arrhythmias","Cavalcanti 2020",NA,NA,1,172,NA,NA,2,159,0.875912,0.462209,0.04232,5.048112,NA,NA,NA,NA,NA,NA,NA,"Low risk","RR",-0.771737455153167,1.48789673833553
"Antibiotics COVID-19","2021-10-01","Arrhythmias","Sekhavati 2020",NA,NA,0,56,NA,NA,0,55,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Some concerns","RR",-0.0176995770994015,3.96459899749373
"Antibiotics COVID-19","2021-10-01","Arrhythmias","Furtado 2020",NA,NA,8,241,NA,NA,5,198,4.12687,1.314523,0.436944,3.954669,NA,NA,NA,NA,NA,NA,NA,"Some concerns","RR",0.273473726449616,0.315800117356134
"Antibiotics COVID-19","2021-10-01","Arrhythmias","RECOVERY 2021",NA,NA,101,2314,NA,NA,224,4670,94.997219,0.90997,0.723315,1.144792,NA,NA,NA,NA,NA,NA,NA,"Low risk","RR",-0.0943440921044596,0.0137189909334376
"Chronic rhinosinusitis","2021-03-01","QoL","Bachert 2016",12.8,11,NA,30,30.2,19.6,NA,30,13.213193,-17.4,-25.442701,-9.357299,"Low risk","Low risk","Low risk","Low risk","High risk","Unclear risk","Low risk",NA,"MD",-17.4,16.8386666666667
"Chronic rhinosinusitis","2021-03-01","QoL","LIBERTY SINUS 24",18.58,14.92,NA,143,40.49,23.06,NA,133,40.05331,-21.91,-26.529411,-17.290589,"Low risk","Low risk","Low risk","Low risk","Unclear risk","Unclear risk","Low risk",NA,"MD",-21.91,5.55491066827909
"Chronic rhinosinusitis","2021-03-01","QoL","LIBERTY SINUS 52",23.89,18.77,NA,295,42.16,23.36,NA,153,46.733497,-18.27,-22.546532,-13.993468,"Low risk","Low risk","Low risk","Low risk","High risk","Unclear risk","Low risk",NA,"MD",-18.27,4.76087970975961
"Chronic rhinosinusitis","2021-03-01","VAS","Bachert 2016",-4.3,2.9459,NA,30,-2.2,3.4815,NA,30,8.343345,-2.1,-3.731964,-0.468036,"Low risk","Low risk","Low risk","Low risk","High risk","Unclear risk","Low risk",NA,"MD",-2.1,0.693305635333333
"Chronic rhinosinusitis","2021-03-01","VAS","LIBERTY SINUS 24",-4.54,2.7504,NA,143,-1.34,2.7678,NA,133,52.348607,-3.2,-3.85152,-2.54848,"Low risk","Low risk","Low risk","Low risk","Unclear risk","Unclear risk","Low risk",NA,"MD",-3.2,0.110499375855723
"Chronic rhinosinusitis","2021-03-01","VAS","LIBERTY SINUS 52",-4.32,3.2634,NA,295,-1.39,4.1221,NA,153,39.308048,-2.93,-3.681865,-2.178135,"Low risk","Low risk","Low risk","Low risk","High risk","Unclear risk","Low risk",NA,"MD",-2.93,0.147157865373435
